y_test,y_pred
9.681612286,7.7646728
11.08597495,9.219704
3.566810333,3.4977021
2.234974286,2.1021798
9.740007833,13.340794
1.489784576,2.9888268
5.951237,3.82692
11.693286,11.957817
1.6515255,4.2135797
6.263514875,4.9686484
1.950170125,3.4248643
8.2515455,4.2309723
1.3644845,3.8235288
11.88350386,5.8385186
11.51044257,11.239083
0.238732761,1.6789169
3.651145,3.1531904
5.293288429,4.113717
8.75599725,6.1160364
3.996692,6.2639074
1.069351767,2.8300612
4.9910114,4.1353297
5.911748,6.304981
11.72533833,3.3711538
4.881258693,4.9670367
4.294907222,3.8707287
8.679413989,6.581645
4.7190183,3.9501135
8.568645182,8.272784
2.800195413,3.8834195
1.442047811,2.9832456
2.958939756,3.7804837
7.7254695,6.503271
2.01962118,3.386356
2.026379113,4.5539865
1.6657594,2.5429199
0.492295416,2.9710248
4.181105139,3.3338559
7.228710545,6.9776306
3.598398762,3.7057664
0.610497,5.090088
5.794503349,4.4523807
3.060710084,2.4280143
3.726438,7.925968
8.786707833,6.830106
6.4025575,5.284679
2.803550488,2.8667362
10.40706669,6.5506825
8.1262565,4.3462553
4.023108,3.9827468
1.34900425,5.2949953
1.296925567,2.9134817
8.690095231,5.2987328
1.023539294,3.2502968
4.901251,6.935421
7.1345386,4.523078
4.1289285,8.398878
1.98560588,3.6151936
0.727428673,3.0376904
0.272008416,2.387825
2.237589011,3.718659
2.068184262,3.8233004
2.863982322,5.4334755
11.22759338,8.81597
1.640394837,3.05118
1.322787458,5.375016
2.175257342,3.3220053
9.078110099,7.03878
3.138380629,3.6938684
10.49298519,5.46048
7.481744,5.924669
5.117028,4.644086
3.714654416,5.2232337
2.9762665,5.763194
1.86100085,6.8635807
0.535735559,2.8018348
2.124109831,2.9628127
2.254468264,4.748662
7.6215278,8.788472
6.017113899,6.0634975
0.293642356,1.7328422
1.482475809,3.1204674
0.198363375,1.9734609
1.995626104,3.5681722
4.628329,5.5995655
5.146598167,6.187338
3.357958058,3.148624
8.331575786,8.476296
1.714161,6.1933727
1.505798046,5.7279644
8.773187429,7.7315216
0.95375474,2.4565303
4.2480695,3.6953673
3.4307628,3.978926
1.1037015,2.3125563
3.303228282,4.1393285
6.632871986,6.259204
8.854944333,7.5170927
2.610517981,4.0507984
4.728555,3.273124
5.591286727,3.9030223
6.338882235,6.2399707
0.9178048,5.999723
6.959455789,5.1537
2.15061499,3.4786236
5.747112338,6.9634275
0.172628644,2.7153318
11.08465267,5.8137817
1.101561308,4.217342
4.865142667,6.4277143
9.11656407,8.094546
12.40961915,11.320452
5.614791083,6.967835
7.874254,2.9759405
9.547164206,6.7049804
8.519368917,7.5759478
5.379264667,2.7762063
4.517711443,4.116159
7.880372,3.4977214
0.295500056,2.701453
3.326282224,3.7592082
1.16835175,3.4005883
9.428281615,7.5917616
16.44950667,10.438322
10.31569992,8.358563
0.608827,4.877776
4.244586333,4.669339
2.337276667,2.6894028
2.85320055,3.223781
2.245984224,3.8958426
9.054365875,7.665661
8.96838875,6.2927117
9.528291571,6.024079
8.458307,8.5160885
12.12266825,6.1422367
0.610558786,3.4278517
8.87040775,10.406649
3.126792062,4.410372
11.5216056,4.436608
12.93699,8.836691
3.998402138,5.1646414
12.654995,10.353896
3.50319365,3.9706426
5.217349619,6.5315256
0.559380977,6.181284
