True Labels,Predicted Labels
10.3493665,10.651152
1.64136245,2.6287932
11.54435213,11.284534
5.757286,5.26317
13.988306,8.47266
16.97312,7.486631
12.09617014,9.369598
6.104902901,6.241603
10.42221388,9.180178
11.03047471,7.8263392
3.394363442,4.1482644
12.84251,8.986503
11.07147086,8.352607
4.804612794,3.7640362
11.2897325,9.723228
4.182514263,3.660856
5.7561105,5.7099786
4.300456926,3.2681837
1.944931535,7.5503745
8.580873,8.387151
1.160489154,7.0375977
7.198617,6.2147055
2.4875815,2.8564515
11.736337,11.909865
10.67249325,9.312406
10.44627073,7.343831
3.773613,8.500948
5.139064875,4.071687
12.90146625,9.286053
2.99191445,6.9617863
12.08526625,5.4725766
8.239360333,9.12358
6.473425587,6.487831
2.53034038,3.10283
5.1105699,3.4116137
10.04675844,7.9793577
0.7928325,4.208863
7.1214005,5.2472296
9.961266,10.659146
0.433133425,3.6883821
10.929815,9.934471
5.8877446,3.567451
4.670965909,3.9580588
3.0445722,3.9495392
4.050095333,4.5478168
9.5390045,5.7975993
3.987068256,5.583101
8.297323188,7.22807
5.580614,6.820016
12.74143956,12.047249
9.8080799,10.771029
10.79927892,9.331492
5.933853667,6.908955
1.51820342,6.3057475
3.711180554,5.8794184
13.34160256,19.341587
2.9677335,5.739798
0.185124,6.6816278
2.110554647,5.7603517
3.58377557,4.6404767
5.715808,6.5343676
0.172461,8.324589
10.09504213,6.9534473
3.348052,4.3374667
8.980057571,9.786107
10.61162833,9.171824
9.935959182,9.144708
18.924374,12.886653
2.25451345,2.2772853
4.363839188,4.195528
13.55403,9.651366
11.7036875,8.873604
1.4117818,9.1523285
15.58884,15.801049
6.248289986,4.5004773
1.545992934,5.9044943
8.1591425,4.629838
6.544184244,5.1738806
4.57334925,7.1123214
17.57092211,13.197775
4.919736625,6.849369
0.3749488,6.811526
1.730473775,4.9334264
2.013797042,3.4806767
8.954157429,4.2023435
5.591260931,6.175438
2.58017,5.8297663
4.982432422,4.885135
3.736865644,4.1913166
5.911413667,10.600831
3.542890533,7.3518953
4.9609421,3.1803923
5.729045014,3.9577267
2.5671007,5.0279436
3.522907482,3.004857
1.973292,4.205905
2.549476208,5.6953883
34.41133333,27.703278
